,0
2012-11-08 00:00:00,3224.996712
2012-11-09 00:00:00,3277.298428
2012-11-10 00:00:00,3330.099899
2012-11-11 00:00:00,3397.889948
2012-11-12 00:00:00,3508.000046
2012-11-13 00:00:00,3580.300095
2012-11-14 00:00:00,3691.488379
2012-11-15 00:00:00,3769.500046
2012-11-16 00:00:00,3835.990046
2012-11-17 00:00:00,3927.195331
2012-11-18 00:00:00,4006.384948
2012-11-19 00:00:00,4070.293428
2012-11-20 00:00:00,4116.895192
2012-11-21 00:00:00,4176.300095
2012-11-22 00:00:00,4238.999802
2012-11-23 00:00:00,4286.499802
2012-11-24 00:00:00,4331.999802
2012-11-25 00:00:00,4331.999802
2012-11-26 00:00:00,4362.493135
2012-11-27 00:00:00,4455.599899
2012-11-28 00:00:00,4489.800095
2012-11-29 00:00:00,4546.800095
2012-11-30 00:00:00,4602.099011
2012-12-01 00:00:00,4662.599899
2012-12-02 00:00:00,4701.199997
2012-12-03 00:00:00,4736.395192
2012-12-04 00:00:00,4791.097567
2012-12-05 00:00:00,4858.599899
2012-12-06 00:00:00,4923.098566
2012-12-07 00:00:00,4985.395748
2012-12-08 00:00:00,5060.899192
2012-12-09 00:00:00,5125.191998
2012-12-10 00:00:00,5193.595456
2012-12-11 00:00:00,5257.498691
2012-12-12 00:00:00,5318.999802
2012-12-13 00:00:00,5384.893189
2012-12-14 00:00:00,5452.195559
2012-12-15 00:00:00,5522.698663
2012-12-16 00:00:00,5592.692995
2012-12-17 00:00:00,5657.493802
2012-12-18 00:00:00,5724.298094
2012-12-19 00:00:00,5789.498913
2012-12-20 00:00:00,5855.893079
2012-12-21 00:00:00,5926.395746
2012-12-22 00:00:00,5997.598122
2012-12-23 00:00:00,6067.39319
2012-12-24 00:00:00,6136.595235
2012-12-25 00:00:00,6186.5989
2012-12-26 00:00:00,6206.699997
2012-12-27 00:00:00,6230.49747
2012-12-28 00:00:00,6259.198
2012-12-29 00:00:00,6291.898858
2012-12-30 00:00:00,6334.699997
2012-12-31 00:00:00,6383.796761
2013-01-01 00:00:00,6464.897528
2013-01-02 00:00:00,6512.699997
2013-01-03 00:00:00,6559.29565
2013-01-04 00:00:00,6605.697219
2013-01-05 00:00:00,6651.699108
2013-01-06 00:00:00,6697.495803
2013-01-07 00:00:00,6744.297429
2013-01-08 00:00:00,6798.997803
2013-01-09 00:00:00,6861.899525
2013-01-10 00:00:00,6922.494472
2013-01-11 00:00:00,6984.796761
2013-01-12 00:00:00,7046.798094
2013-01-13 00:00:00,7108.800095
2013-01-14 00:00:00,7170.594463
2013-01-15 00:00:00,7231.897525
2013-01-16 00:00:00,7293.399414
2013-01-17 00:00:00,7354.393968
2013-01-18 00:00:00,7449.089244
2013-01-19 00:00:00,7525.097567
2013-01-20 00:00:00,7584.699997
2013-01-21 00:00:00,7644.795427
2013-01-22 00:00:00,7704.597232
2013-01-23 00:00:00,7763.999135
2013-01-24 00:00:00,7823.193773
2013-01-25 00:00:00,7894.5949
2013-01-26 00:00:00,7980.898191
2013-01-27 00:00:00,8066.990803
2013-01-28 00:00:00,8152.594385
2013-01-29 00:00:00,8236.795609
2013-01-30 00:00:00,8329.19833
2013-01-31 00:00:00,8452.686664
2013-02-01 00:00:00,8574.890192
2013-02-02 00:00:00,8683.595388
2013-02-03 00:00:00,8826.299606
2013-02-04 00:00:00,8912.292611
2013-02-05 00:00:00,9001.396638
2013-02-06 00:00:00,9080.998913
2013-02-07 00:00:00,9160.192888
2013-02-08 00:00:00,9238.895749
2013-02-09 00:00:00,9316.598608
2013-02-10 00:00:00,9393.691999
2013-02-11 00:00:00,9470.194665
2013-02-12 00:00:00,9545.997468
2013-02-13 00:00:00,9621.100388
2013-02-14 00:00:00,9695.394746
2013-02-15 00:00:00,9770.096829
2013-02-16 00:00:00,9843.59961
2013-02-17 00:00:00,9916.893083
2013-02-18 00:00:00,9989.895749
2013-02-19 00:00:00,10062.99802
2013-02-20 00:00:00,10135.59339
2013-02-21 00:00:00,10207.99447
2013-02-22 00:00:00,10280.09805
2013-02-23 00:00:00,10352.2
2013-02-24 00:00:00,10424.39552
2013-02-25 00:00:00,10496.39786
2013-02-26 00:00:00,10567.89941
2013-02-27 00:00:00,10638.79339
2013-02-28 00:00:00,10709.49591
2013-03-01 00:00:00,10779.99825
2013-03-02 00:00:00,10850.19299
2013-03-03 00:00:00,10920.29427
2013-03-04 00:00:00,10989.99714
2013-03-05 00:00:00,11059.4998
2013-03-06 00:00:00,11129.09494
2013-03-07 00:00:00,11198.2965
2013-03-08 00:00:00,11218.4998
2013-03-09 00:00:00,11248.39397
2013-03-10 00:00:00,11316.5965
2013-03-11 00:00:00,11383.89941
2013-03-12 00:00:00,11450.89319
2013-03-13 00:00:00,11563.29094
2013-03-14 00:00:00,11686.29627
2013-03-15 00:00:00,11727.79961
2013-03-16 00:00:00,11727.90019
2013-03-17 00:00:00,11727.9998
2013-03-18 00:00:00,11727.9998
2013-03-19 00:00:00,11770.2
2013-03-20 00:00:00,11790.10039
2013-03-21 00:00:00,11792.90019
2013-03-22 00:00:00,11814.99647
2013-03-23 00:00:00,11861.09817
2013-03-24 00:00:00,11907.99869
2013-03-25 00:00:00,11954.79461
2013-03-26 00:00:00,11988.29572
2013-03-27 00:00:00,12037.49758
2013-03-28 00:00:00,12060.90019
2013-03-29 00:00:00,12095.694
2013-03-30 00:00:00,12119.5965
2013-03-31 00:00:00,12145.19777
2013-04-01 00:00:00,12166.4998
2013-04-02 00:00:00,12193.695
2013-04-03 00:00:00,12216.2
2013-04-04 00:00:00,12239.09772
2013-04-05 00:00:00,12264.4998
2013-04-06 00:00:00,12287.40019
2013-04-07 00:00:00,12307.7
2013-04-08 00:00:00,12334.89797
2013-04-09 00:00:00,12346.7
2013-04-10 00:00:00,12379.39519
2013-04-11 00:00:00,12389.10039
2013-04-12 00:00:00,12396.60039
2013-04-13 00:00:00,12404.99914
2013-04-14 00:00:00,12410.7
2013-04-15 00:00:00,12410.7
2013-04-16 00:00:00,12417.7
2013-04-17 00:00:00,12417.7
2013-04-18 00:00:00,12417.7
2013-04-19 00:00:00,12417.7
2013-04-20 00:00:00,12442.69777
2013-04-21 00:00:00,12487.19911
2013-04-22 00:00:00,12527.49581
2013-04-23 00:00:00,12566.7965
2013-04-24 00:00:00,12598.89797
2013-04-25 00:00:00,12628.19866
2013-04-26 00:00:00,12659.7
2013-04-27 00:00:00,12688.40019
2013-04-28 00:00:00,12711.10039
2013-04-29 00:00:00,12735.60039
2013-04-30 00:00:00,12755.4998
2013-05-01 00:00:00,12770.60039
2013-05-02 00:00:00,12789.60039
2013-05-03 00:00:00,12810.79738
2013-05-04 00:00:00,12832.39975
2013-05-05 00:00:00,12849.40019
2013-05-06 00:00:00,12865.9998
2013-05-07 00:00:00,12886.60039
2013-05-08 00:00:00,12907.59905
2013-05-09 00:00:00,12927.29961
2013-05-10 00:00:00,12945.99891
2013-05-11 00:00:00,12959.60039
2013-05-12 00:00:00,12978.9998
2013-05-13 00:00:00,12994.29739
2013-05-14 00:00:00,13013.39686
2013-05-15 00:00:00,13031.99847
2013-05-16 00:00:00,13048.79961
2013-05-17 00:00:00,13066.9998
2013-05-18 00:00:00,13081.2
2013-05-19 00:00:00,13091.7
2013-05-20 00:00:00,13104.79905
2013-05-21 00:00:00,13117.90019
2013-05-22 00:00:00,13130.99313
2013-05-23 00:00:00,13142.29961
2013-05-24 00:00:00,13159.19866
2013-05-25 00:00:00,13168.9998
2013-05-26 00:00:00,13180.29961
2013-05-27 00:00:00,13195.2
2013-05-28 00:00:00,13210.40019
2013-05-29 00:00:00,13227.9998
2013-05-30 00:00:00,13242.10039
2013-05-31 00:00:00,13252.10039
2013-06-01 00:00:00,13261.79961
2013-06-02 00:00:00,13268.79961
2013-06-03 00:00:00,13275.4998
2013-06-04 00:00:00,13284.09905
2013-06-05 00:00:00,13297.90019
2013-06-06 00:00:00,13310.79961
2013-06-07 00:00:00,13321.60039
2013-06-08 00:00:00,13332.4998
2013-06-09 00:00:00,13345.99947
2013-06-10 00:00:00,13360.2
2013-06-11 00:00:00,13371.7
2013-06-12 00:00:00,13383.29961
2013-06-13 00:00:00,13396.60039
2013-06-14 00:00:00,13409.10039
2013-06-15 00:00:00,13417.9998
2013-06-16 00:00:00,13433.2
2013-06-17 00:00:00,13441.60039
2013-06-18 00:00:00,13452.29961
2013-06-19 00:00:00,13464.39708
2013-06-20 00:00:00,13475.99591
2013-06-21 00:00:00,13489.4998
2013-06-22 00:00:00,13500.29961
2013-06-23 00:00:00,13514.29961
2013-06-24 00:00:00,13524.40019
2013-06-25 00:00:00,13528.10039
2013-06-26 00:00:00,13532.90019
2013-06-27 00:00:00,13543.29727
2013-06-28 00:00:00,13556.9998
2013-06-29 00:00:00,13571.49869
2013-06-30 00:00:00,13578.2
2013-07-01 00:00:00,13592.29961
2013-07-02 00:00:00,13604.40019
2013-07-03 00:00:00,13618.79961
2013-07-04 00:00:00,13627.90019
2013-07-05 00:00:00,13632.90019
2013-07-06 00:00:00,13637.29961
2013-07-07 00:00:00,13645.3953
2013-07-08 00:00:00,13653.39797
2013-07-09 00:00:00,13662.29961
2013-07-10 00:00:00,13675.10039
2013-07-11 00:00:00,13685.90019
2013-07-12 00:00:00,13695.2
2013-07-13 00:00:00,13704.29961
2013-07-14 00:00:00,13713.79961
2013-07-15 00:00:00,13723.4998
2013-07-16 00:00:00,13733.40019
2013-07-17 00:00:00,13741.9998
2013-07-18 00:00:00,13751.40019
2013-07-19 00:00:00,13759.4998
2013-07-20 00:00:00,13770.10039
2013-07-21 00:00:00,13780.60039
2013-07-22 00:00:00,13792.4998
2013-07-23 00:00:00,13805.09872
2013-07-24 00:00:00,13817.19733
2013-07-25 00:00:00,13824.90019
2013-07-26 00:00:00,13835.2
2013-07-27 00:00:00,13845.40019
2013-07-28 00:00:00,13858.9998
2013-07-29 00:00:00,13865.4998
2013-07-30 00:00:00,13874.10039
2013-07-31 00:00:00,13882.90019
2013-08-01 00:00:00,13890.29961
2013-08-02 00:00:00,13900.7
2013-08-03 00:00:00,13912.60039
2013-08-04 00:00:00,13914.9998
2013-08-05 00:00:00,13922.7
2013-08-06 00:00:00,13936.29961
2013-08-07 00:00:00,13942.7
2013-08-08 00:00:00,13951.9998
2013-08-09 00:00:00,13956.90019
2013-08-10 00:00:00,13965.29961
2013-08-11 00:00:00,13972.4998
2013-08-12 00:00:00,13982.9998
2013-08-13 00:00:00,13992.7
2013-08-14 00:00:00,13997.40019
2013-08-15 00:00:00,14004.10039
2013-08-16 00:00:00,14013.7
2013-08-17 00:00:00,14023.90019
2013-08-18 00:00:00,14035.29028
